Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
56,Male,68.6,1.7,178,93,60,1.19,512,Yoga,8.9,3.42,3,2,23.65
46,Female,43.6,1.63,167,97,53,1.8,941,Strength,27.5,3.31,4,3,16.42
32,Female,88.7,1.72,177,134,71,0.65,667,Cardio,34.0,3.32,2,1,29.81
25,Female,80.3,1.62,192,110,70,0.9,553,Strength,30.2,3.38,4,1,30.74
38,Female,49.5,1.6,190,127,71,1.57,1087,Cardio,20.3,3.55,3,2,19.43
56,Female,66.9,1.63,175,111,66,1.56,747,Strength,20.9,3.66,4,3,25.12
36,Female,79.1,1.64,179,118,71,0.91,556,Cardio,33.4,3.85,2,1,29.53
40,Male,88.5,1.67,175,119,77,1.29,720,Strength,14.6,3.73,2,1,31.91
28,Male,84.5,1.78,184,108,59,1.17,854,HIIT,17.6,4.17,4,3,26.65
28,Female,62.6,1.54,193,139,68,1.19,1223,HIIT,24.7,3.99,4,2,26.26
41,Male,102.2,1.64,177,140,64,1.52,1646,HIIT,20.3,4.45,2,1,37.78
53,Female,68.1,1.68,180,134,71,1.48,1340,HIIT,23.3,3.96,3,1,24.2
57,Male,70.8,1.78,175,113,58,1.4,910,Cardio,18.7,3.98,4,2,22.26
41,Female,77.2,1.7,190,117,64,0.78,685,Cardio,28.8,3.31,2,1,26.69
20,Male,79.3,1.7,191,122,81,1.02,438,Strength,12.0,3.92,3,1,27.31
39,Male,82.9,1.72,180,123,52,1.48,1388,HIIT,14.5,3.14,5,3,28.06
19,Female,67.8,1.67,197,138,70,1.66,1548,HIIT,30.6,2.79,2,1,24.27
41,Male,85.0,1.72,174,104,72,0.68,410,Cardio,15.1,3.48,4,2,28.74
47,Female,51.3,1.61,174,124,84,0.84,407,Strength,15.3,3.28,2,1,19.7
55,Male,57.7,1.81,162,107,68,1.7,843,Cardio,16.4,3.64,5,2,17.54
19,Male,98.1,1.79,183,145,68,1.78,1958,HIIT,24.3,4.83,3,2,30.73
38,Female,68.5,1.64,193,105,71,1.13,330,Yoga,25.8,3.07,2,1,25.42
50,Male,88.8,1.82,179,130,73,1.84,1393,Cardio,24.1,4.73,3,2,26.66
29,Female,40.4,1.68,177,119,74,0.89,541,Strength,23.4,3.49,2,1,14.32
39,Female,79.9,1.69,188,104,60,0.92,458,Yoga,16.7,3.37,5,3,27.99
42,Female,57.7,1.65,175,142,70,1.73,1582,HIIT,22.5,4.0,4,3,21.23
44,Female,53.7,1.6,182,121,68,1.6,1013,Cardio,23.4,3.54,2,1,20.86
59,Female,64.1,1.66,174,140,61,1.6,1618,HIIT,29.1,3.92,4,1,23.18
45,Female,51.3,1.72,187,110,61,0.85,525,Strength,25.6,3.69,4,1,17.27
33,Male,78.0,1.93,180,119,66,1.37,1086,HIIT,24.4,4.01,4,2,20.99
32,Male,76.1,1.7,180,138,72,1.44,1226,HIIT,17.3,4.19,2,1,26.48
20,Male,92.8,1.71,174,136,77,1.26,954,Cardio,19.9,3.61,3,1,31.63
54,Male,99.2,1.81,172,129,75,1.66,1114,Cardio,22.5,4.77,3,1,30.32
24,Female,85.7,1.54,192,103,71,1.01,458,Yoga,32.3,4.46,2,1,36.32
38,Female,40.0,1.65,186,142,73,1.28,1075,Cardio,32.4,2.7,4,2,14.75
26,Male,64.9,1.85,195,127,71,1.23,916,HIIT,18.3,3.41,2,1,19.04
56,Male,46.2,1.73,174,72,59,1.59,315,Yoga,15.0,3.65,4,2,15.5
35,Male,61.3,1.83,186,140,62,1.08,1098,HIIT,9.9,3.55,2,1,18.26
21,Female,55.9,1.63,190,124,79,1.47,874,Cardio,37.7,2.96,4,1,20.98
42,Female,70.7,1.66,183,100,54,1.86,932,Strength,26.8,4.1,4,2,25.76
31,Male,70.7,1.73,179,94,62,1.27,440,Yoga,18.3,3.54,3,3,23.52
26,Female,58.1,1.68,179,150,85,1.24,1056,Cardio,27.8,3.02,3,2,20.54
43,Female,67.5,1.73,174,120,74,1.49,764,Yoga,27.7,4.29,2,1,22.69
19,Male,54.1,1.76,192,125,70,1.82,1207,HIIT,21.3,3.68,2,1,17.41
37,Female,53.3,1.66,174,112,53,1.67,1058,Strength,19.7,3.96,5,3,19.23
45,Female,58.0,1.65,174,157,81,0.87,941,HIIT,26.0,2.71,2,1,21.29
24,Male,75.2,1.56,184,133,78,1.22,929,Cardio,14.7,3.97,3,1,31.07
25,Male,79.1,1.74,192,122,67,1.79,1000,Strength,22.3,4.58,5,3,26.05
52,Male,99.0,1.63,178,136,63,1.17,1197,HIIT,17.3,4.09,5,3,37.3
31,Male,90.7,1.73,185,129,66,1.07,987,HIIT,24.4,3.76,4,3,30.38
34,Female,54.2,1.76,186,109,62,1.33,713,Strength,34.0,2.86,5,3,17.49
53,Female,61.3,1.64,176,127,57,1.68,1506,HIIT,15.5,3.39,5,3,22.86
57,Male,73.4,1.75,169,112,77,0.67,376,Strength,24.4,3.19,3,1,24.03
21,Male,70.8,1.77,186,123,71,0.91,721,Cardio,12.7,3.07,2,1,22.58
19,Male,81.8,1.81,200,115,70,1.4,986,Cardio,17.9,3.67,3,2,24.88
23,Male,52.0,1.85,174,142,66,1.68,1692,HIIT,18.6,3.61,3,2,15.21
59,Female,77.3,1.5,166,122,70,1.4,1006,Cardio,18.6,4.0,2,2,34.37
21,Male,101.7,1.76,188,121,71,1.28,821,Strength,15.8,4.74,3,1,32.93
46,Male,74.2,1.75,180,116,70,1.5,755,Strength,21.3,3.58,4,1,24.21
35,Male,73.9,1.71,189,100,67,1.86,603,Yoga,17.9,4.1,5,2,25.39
43,Female,67.2,1.81,190,139,89,1.67,918,Strength,22.4,3.68,3,1,20.59
51,Male,92.3,1.57,174,125,76,0.44,386,Cardio,16.0,3.41,3,1,37.52
27,Female,60.5,1.56,186,136,83,1.33,937,Cardio,17.5,3.38,6,2,24.79
53,Male,91.1,1.61,176,100,67,1.62,700,Yoga,11.0,4.22,4,2,35.24
31,Female,71.8,1.73,181,101,69,1.74,584,Yoga,25.6,4.08,3,1,24.0
48,Female,98.1,1.64,169,112,61,1.52,1010,Strength,29.9,4.24,2,2,36.46
32,Male,73.4,1.74,183,108,77,1.0,477,Yoga,22.6,4.06,5,2,24.25
25,Male,50.3,1.69,192,134,66,0.9,703,Cardio,28.7,2.36,3,1,17.57
31,Female,44.9,1.62,183,152,82,0.91,765,HIIT,29.6,3.37,2,1,17.15
40,Female,65.2,1.68,182,102,65,1.26,554,Strength,28.4,3.41,2,1,23.11
57,Male,92.4,1.76,160,135,76,0.98,841,Cardio,22.0,3.86,2,1,29.69
38,Male,68.9,1.77,181,95,53,0.38,244,Strength,16.9,3.1,6,3,21.99
33,Female,61.8,1.57,181,134,68,0.74,820,HIIT,19.4,3.46,2,1,25.14
35,Female,74.6,1.73,175,126,67,1.14,1102,HIIT,34.4,3.32,3,2,24.93
41,Male,64.5,1.83,183,104,67,0.67,431,Cardio,9.8,2.93,2,1,19.32
43,Female,56.4,1.68,190,105,70,0.73,264,Yoga,33.2,3.27,3,1,20.11
42,Male,61.7,1.69,185,110,66,2.02,1112,Cardio,17.3,3.27,3,2,21.65
58,Female,81.5,1.75,177,134,76,1.15,842,Cardio,22.1,3.81,2,1,26.64
46,Male,99.6,1.67,181,103,54,1.16,831,Strength,19.7,3.87,2,2,35.74
32,Male,55.9,1.74,188,98,68,1.38,421,Yoga,18.9,3.04,3,1,18.36
18,Male,76.0,1.82,180,159,79,1.55,1706,HIIT,16.1,3.29,2,1,23.03
42,Female,84.7,1.65,178,108,70,2.08,979,Strength,18.1,4.75,2,2,31.18
24,Male,83.6,1.94,191,129,79,1.75,1156,Cardio,12.2,4.29,2,1,22.23
26,Male,71.2,1.78,190,107,68,1.6,848,Strength,11.4,3.61,5,3,22.36
41,Male,56.4,1.77,187,131,60,0.76,715,Cardio,15.1,3.02,4,2,18.02
18,Female,81.1,1.77,185,141,75,0.8,724,Cardio,21.4,3.17,3,1,25.97
25,Female,70.0,1.67,191,109,72,1.01,386,Strength,27.7,3.29,3,1,25.18
41,Male,57.4,1.69,173,122,81,1.48,554,Strength,11.7,3.46,2,2,20.14
28,Female,81.7,1.68,185,121,72,1.33,924,Cardio,26.8,3.96,4,2,29.09
34,Female,42.6,1.7,183,118,74,0.63,346,Strength,33.7,2.89,2,1,14.67
25,Female,61.9,1.67,193,114,67,0.87,533,Cardio,23.9,2.54,5,3,22.31
52,Male,74.3,1.69,178,124,74,1.24,767,Cardio,19.0,3.89,3,1,26.04
52,Male,100.7,1.77,175,109,66,1.49,753,Yoga,11.8,3.72,4,3,32.24
50,Male,74.3,1.79,162,140,69,1.08,928,Cardio,26.7,3.81,3,1,23.18
